accenture,accent,future
advertainment,advertising,entertainment
advertecture,advertising,architecture
advertorial,advertising,editorial
aerobatics,aerial,acrobatics
affluenza,affluence,influenza
altadena,alta,pasadena
amerind,american,indigenous
anacronym,anachronism,acronym
anecdata,anecdote,data
animatrix,animated,matrix
animatronics,animation,electronics
animutation,animation,mutation
arcology,architecture,ecology
aricent,arise,ascent
arkadelphia,arkansas,philadelphia
austerical,austerity,hysterical
automagic,automatic,magic
automagical,automatic,magical
automobilia,automobile,memorabilia
avionics,aviation,electronics
backronym,backwards,acronym
bakerloo,baker,waterloo
banjitar,banjo,guitar
bankster,bank,gangster
banoffee,banana,toffee
bayonetwork,bayonet,network
bedaffle,bedazzle,baffle
beefalo,beef,buffalo
beerage,beer,peerage
bennifer,ben,jennifer
beurgeois,beur,bourgeois
billex,bill,alex
bionicle,bionic,chronicle
bit,binary,digit
blaccent,black,accent
blackanese,black,japanese
blackup,black,backup
blasian,black,asian
blaxican,black,mexican
blaxploitation,black,exploitation
bleen,blue,green
blipster,black,hipster
blorph,blend,morph
bodacious,bold,audacious
bollywood,bombay,hollywood
bootylicious,booty,delicious
boxercise,boxing,exercise
boxster,boxer,roadster
brainiac,brain,maniac
brangelina,brad,angelina
brangus,brahmin,angus
brogrammer,bro,programmer
bromance,bro,romance
brony,bro,pony
brostache,bro,mustache
brouter,bridge,router
brunch,breakfast,lunch
bullycide,bullying,suicide
calexico,california,mexico
californication,california,fornication
cama,camel,llama
cameleopard,camel,leopard
caninja,canine,ninja
caplet,capsule,tablet
carboloy,carbon,alloy
carborundum,carbon,corundum
cassingle,cassette,single
celesbian,celebrity,lesbian
chigorette,chigorin,cigarette
chillax,chill,relax
chinglish,chinese,english
chiwaukee,chicago,milwaukee
chokebreaker,chokeslam,backbreaker
chrismukkah,christmas,hanukkah
chuggers,charity,muggers
chunnel,channel,tunnel
cinedigm,cinema, paradigm
clamato,clam,tomato
clink,click,link
clintwood,clinton,eastwood
clopen,closed,open
cocacolonization,cocacola,colonization
comcastic,comcast,fantastic
coopetition,cooperation,competition
cosplay,costume,play
cramerica,cramer,america
craptacular,crap,spectacular
cremains,cremate,remains
crisitunity,crisis,opportunity
crooklyn,crook,brooklyn
crunk,crazy,drunk
cryptex,cryptology,codex
cyberdelic,cybernetics,psychedelic
cyborg,cybernetic,organism
czenglish,czech,english
dancercise,dance,exercise
danimals,dannon,animals
darkane,dark,arcane
