narcoterrorism,narcotics,terrorism
winsted,winchester,barkhamsted
ruthanasia,ruth,euthanasia
londonistan,london,pakistan
juneteenth,june,nineteenth
hotlanta,hot,atlanta
altadena,alta,pasadena
alphabet,alpha,beta
zony,zebra,pony
jeopard,jaguar,leopard
wholphin,whale,dolphin
nicorette,nicotine,cigarette
hairagami,hair,origami
caltrain,california,train
boxster,boxer,roadster
debian,debra,ian
slurve,slider,curve
scanlation,scan,translation
animutation,animation,mutation
instrumedley,instrument,medley
machinima,machine,cinema
spamalot,spam,camelot
seussical,seuss,musical
wikiality,wiki,reality
britcom,british,comedy
smelloscope,smelly,tellyscope
crooklyn,crook,brooklyn
inscape,interior,landscape
positron,positive,electron
parsec,parallax,second
sysop,system,operator
ringxiety,ring,anxiety
sporgery,spam,forgery
texel,texture,element
privoxy,private,proxy
odditorium,odd,auditorium
multicart,multiple,cartridge
brouter,bridge,router
avgas,aviation,gasoline
bleen,blue,green
blipster,black,hipster
advertecture,advertising,architecture
aerobatics,aerial,acrobatics
alphabet,alpha,beta
dvertecture,advertising,architecture
aerobatics,aerial,acrobatics
affluenza,affluence,influenza
anacronym,anachronism,acronym
arcology,architecture,ecology
automagical,automatic,magical
avgas,aviation,gasoline
backronym,back,acronym
banoffee,banana,toffee
bedaffle,bedazzle,baffle
beefalo,beef,buffalo
beerage,beer,peerage
Billex,Bill,Alex
Bionicle,biological,,chronicle
bioterrorism,biological,terrorism
Blasian,black,Asian
blaxican,black,mexican
blaxploitation,black,exploitation
blipster,black,hipster
blog,web,log
blurst,best,worst
bodacious,bold,audacious
boxercise,boxing,exercise
brunch,breakfast,lunch
bufugly,butt,fucking,ugly
Californication,California,fornication
camcorder,camera,recorder
caplet,capsule,tablet
carboloy,carbon,alloy
Chunnel,Channel,tunnel
chillaxing,chilling,relaxing
Chinglish,Chinese,English
clink,click,link
conlang,constructed,language
coopetition,cooperation,competition
cosplay,costume,play
cremains,cremated,remains
crisitunity,crisis,opportunity
crunk,crazy,drunk
cryptex,cryptology,codex
cyberpsychology,cybernetic,psychology
cyborg,cybernetic,organism
craptacular,crap,spectacular
dancercise,dance,exercise.
Darkane,Dark,Arcane.
deliquid,delicious,liquid.
discustion,disgust,discussion.
Disturbia,disturb,suburbia.
dramastic,dramatic,drastic.
dramedy,drama,comedy.
ebonics,ebony,phonics.
ecoteur,ecological,saboteur.
edutainment,education,entertainment.
exercycle,exercise,cycle.
fantabulous,fantastic,fabulous.
fanzine,fan,magazine.
Fergalicious,Fergie,delicious
flexicurity,flexibility,security
flong,flip cup,beer pong.
folksonomy,folk,taxonomy.
Forgirl,Former,Girlfriend.
fpoon,Frosty,spoon.
frappuccino,frappé,cappuccino
fraubtier,frau,raubtier
frowculation,frown,calculation
fucktard,fucking,retard
fugly,fucking,ugly
fungasm,fun,orgasm
gaydar,gay,radar
Garriage,Gay,Marriage
gaysian,gay,Asian
gerrymander,Gerry,Salamander
ginormous,gigantic,enormous
grasscycle,grass,recycle
grue,green,blue
guesstimate,guess,estimate
herstory,her,history
humanure,human,manure
ineptitude,inept,aptitude
ideanomics,idea,economics
insinnuendo,insinuate,innuendo
intertwingle,intertwine,intermingle
Jamiroquai,jam,Iroquois
Jazzercise,jazz,exercise
masstige,,mass,prestige
mechatronics,mechanics,electronics
meowse,cat,mouse
mizzle,mist,drizzle
mobisode,mobile phone,episode
mobitone,mobile phone,ring tone
mockney,mock,Cockney
mocker,mod,rocker
moped,motor,pedal
motel,motor,hotel
nastronaut,NASA,astronaut.
netocracy,internet,aristocracy
Oxbridge,Oxford,Cambridge
parkade,parking,arcade
permaculture,permanent,agriculture
Pastafarian,pasta,Rastafarian
permafrost,permanent,frost
petrochemical,petroleum,chemical
phoneme,phonetics,scheme
