beefalo, beef, buffalo
Brangus, Brahman, Angus
cameleopard, camel, leopard
cockapoo, Cocker Spaniel, Poodle
geep, goat, sheep
jackalope, jackrabbit, antelope
labradoodle, Labrador Retriever, Poodle
liger, lion, tiger
maltipoo, Maltese, poodle
pegacorn, Pegasus, unicorn
pekapoo, Pekingnese, Poodle
puggle, Pug, Beagle
sheeple, sheep, people
squitten, squirrel, kitten
tigon, tiger, lion
wallaroo, wallaby, kangaroo
zedonk, zebra, donkey
arfé, art, café
Bennifer, Ben Affleck, Jennifer Lopez
biopic, biography, picture
Brangelina, Brad Pitt, Angelina Jolie
Britcom, British, comedy
Californication, California, fornication
cassingle, cassette, single
celebutante, celebrity, débutante
cosplay, costume, play
dramedy, drama, comedy
edutainment, education, entertainment
Electrocutioner, electrocution, executioner
faction, fact, fiction
Famicom, Family, Computer
fandom, fanatic, kingdom
fanzine, fan, magazine
frolf, Frisbee, golf
glitterati, glitter, literati
Jazzercise, jazz, exercise
Kripkenstein, Kripke, Wittgenstein
literotica, literature, erotica
machinima, machine, cinema
mockumentary, mock, documentary
newscast, news, broadcast
Nintendogs, Nintendo, dogs
Orgasmatron, orgasm, tron
Pensieve, pensive, sieve
Policenauts, police, astronaut
Pornograffitti, Pornography, graffiti
religulous, religion, ridiculous
Revolusongs, revolution, songs
rockumentary, rock, documentary
rom-com, romantic, comedy
sacrilicious, sacrilege, delicious
scanlation, scan, translation
Sharknado, shark, tornado
Sharktopus, shark, octopus
sitcom, situational, comedy
slurve, slider, curve
smark, smart, mark
soundscape, sound, landscape
streetball, street, basketball
Talkartoon, talk, cartoon
televangelist, television, evangelist
The Animatrix, anime, The Matrix
TomKat, Tom Cruise, Katie Holmes
Waluigi, warui, Luigi
Wario, warui, Mario
alcopop, alcohol, pop
broccoflower, broccoli, cauliflower
brunch, breakfast, lunch
cheeseburger, cheese, hamburger
chork, chopsticks, fork
Clamato, clam, tomato
cronut, croissant, doughnut
flavorite, flavor, favorite
Frankenfood, Frankenstein, food
frappuccino, frappé, cappuccino
knork, knife, fork
mocktail, mock, cocktail
P'zone, pizza, calzone
peacherine, peach, nectarine
pluot, plum, apricot
scotchka, scotch, vodka
spife, spoon, knife
spork, spoon, fork
tangelo, tangerine, pomelo
tofurkey, tofu, turkey
tomacco, tomato, tobacco
trongs, tri, tongs
affluenza, affluence, influenza
Amerind, American, Indian
Amerithrax, American, anthrax
Ametrine, amethyst, citrine
anacronym, anachronism, acronym
anecdata, anecdote, data
arcology, architecture, ecology
automobilia, automobile, memorabilia
avionics, aviation, electronics
backronym, backwards, acronym
banjitar, banjo, guitar
bankster, banker, gangster
beurgeois, beur, bourgeois
bicurious, bisexual, curious
blaccent, black, accent
blaxploitation, black, exploitation
bleen, blue, green
Bootylicious, booty, delicious
botel, boat, hotel
BoxRec, boxing, records
brainiac, brain, maniac
breathalyzer, breath, analyzer
bromance, brother, romance
brony, bro, pony
bullycide, bullying, suicide
camcorder, camera, recorder
carjack, car, hijack
celesbian, celebrity, lesbian
chavtastic, chav, fantastic
chillax, chill, relax
Chinglish, English, Chinese
chokebreaker, chokeslam, backbreaker
chortle, chuckle, snort
Chrismukkah, Christmas, Hanukkah
chuggers, charity, muggers
Chunnel, Channel, tunnel
clopen, closed, open
cocacolonization, Coca-Cola, colonization
coopetition, cooperation, competition
cremains, cremate, remains
cryptanalysis, cryptogram, analysis
cryptex, cryptology, codex
cyberdelic, cyber, psychedelic
Diamat, Dialectical, Materialism
digerati, digital, literati
digipeater, digital, repeater
Ebonics, ebony, phonics
ecoteur, ecological, saboteur
electrocute, electric, execute
endorphin, endogenous, morphine
epigenetics, epigenesis, genetics
fantabulous, fantastic, fabulous
femdom, female, dominance
feminazi, feminist, Nazi
Fleshlight, flashlight, flesh
fluidram, fluid, dram
Franglais, French, English
fratire, fraternity, satire
Freakonomics, freak, economics
frenemy, friend, enemy
gamestorming, games, brainstorming
gaydar, gay, radar
Gerrymander, Elbridge Gerry, salamander
ginormous, gigantic, enormous
glamping, glamour, camping
greenwash, green, whitewash
grue, green, blue
guesstimate, guess, estimate
guitalele, guitar, ukulele
guyliner, guy, eyeliner
hasbian, has been, lesbian
Homocaust, homosexual, Holocaust
hubot, human, robot
imagineering, imagination, engineering
incognegro, incognito, negro
irregardless, irrespective, regardless
jeggings, jeans, leggings
jorts, jeans, shorts
keytar, keyboard, guitar
kidult, kid, adult
lidar, light, radar
mafic, magnesium, ferric
manbag, man, handbag
manscaping, man, landscaping
mathlete, math, athlete
mechatronics, mechanical, electronics
meld, melt, weld
Merkozy, Merkel, Sarkozy
metrosexual, metropolitan, heterosexual
mizzle, mist, drizzle
mobisode, mobile, episode
mockney, mock, Cockney
moobs, man, boobs
moped, motor, pedal
motel, motor, hotel
motorcade, motor, cavalcade
motorcycle, motorized, bicycle
murse, man, purse
murse, male, nurse
napalm, naphthene, palmitate
neither, not, either
nuyorican, New York, Puerto Rican
Oxbridge, Oxford, Cambridge
paratrooper, parachute, trooper
Pastafarian, pasta, Rastafarian
pegasister, pegasus, sister
pleather, plastic, leather
Plytanium, titanium, plywood
posistor, positive, thermistor
prosumer, professional, consumer
prosumer, producer, consumer
proteome, proteins, genome
protoflight, prototype, flight
